iter	RMSE
0	688870.5176
1	688089.3305
2	688041.8568
3	687307.3213
4	686537.4444
5	685811.1626
6	685124.7323
7	684476.4593
8	683865.1901
9	683345.5515
10	682855.4444
11	682827.1029
12	682307.1767
13	681873.908
14	681615.6701
15	681163.7739
16	680737.9798
17	680718.0976
18	680316.0228
19	679938.3754
20	679625.489
21	679596.2107
22	679257.9776
23	678939.6709
24	678779.4573
25	678486.9055
26	678211.0175
27	678091.3668
28	677837.3195
29	677632.67
30	677532.792
31	677425.0084
32	677409.5991
33	677195.6995
34	677146.2958
35	677124.296
36	676957.4011
37	676767.9608
38	676590.6758
39	676451.3488
40	676441.6033
41	676310.4847
42	676158.8966
43	676016.6593
44	675907.5277
45	675804.6306
46	675746.6036
47	675717.8596
48	675666.9741
49	675617.3942
50	675506.5159
51	675463.4543
52	675359.3976
53	675281.805
54	675280.8382
55	675262.8932
56	675190.8899
57	675104.515
58	675022.7313
59	674963.2357
60	674907.0284
61	674838.0204
62	674837.3334
63	674788.4661
64	674723.6243
65	674717.9959
66	674710.1181
67	674666.2813
68	674610.1114
69	674607.678
70	674606.6254
71	674553.8825
72	674552.9641
73	674517.9951
74	674468.0754
75	674424.2414
76	674394.1669
77	674389.304
78	674387.7963
79	674383.9502
80	674383.6219
81	674379.3589
82	674337.5759
83	674334.3751
84	674330.9097
85	674322.6371
86	674298.053
87	674261.7122
88	674257.8135
89	674251.3019
90	674244.4865
91	674240.8723
92	674209.1344
93	674205.6756
94	674186.2511
95	674184.6549
96	674184.4073
97	674153.452
98	674135.8076
99	674119.221
100	674095.5573
101	674090.7591
102	674089.9151
103	674066.5566
104	674042.27
105	674029.8293
106	674010.9398
107	674000.4445
108	673989.6845
109	673969.5727
110	673960.499
111	673958.5225
112	673953.6908
113	673944.7759
114	673927.2133
115	673919.5907
116	673906.5672
117	673906.4184
118	673901.0555
119	673889.3698
120	673878.3493
121	673864.6645
122	673852.0072
123	673842.4766
124	673842.3868
125	673837.6183
126	673825.5884
127	673814.1396
128	673812.8571
129	673809.1917
130	673805.6861
131	673804.9202
132	673804.3488
133	673803.3403
134	673802.3538
135	673795.1058
136	673788.7223
137	673787.7436
138	673781.7451
139	673778.1212
140	673777.7264
141	673771.8453
142	673769.4486
143	673764.1787
144	673756.6144
145	673755.9606
146	673748.5249
147	673747.3612
148	673746.5553
149	673745.7941
150	673741.3394
151	673739.8936
152	673738.9012
153	673738.8331
154	673738.7737
155	673738.7436
156	673735.1145
157	673734.9951
158	673734.7238
159	673728.2389
160	673724.5736
161	673721.2023
162	673720.315
163	673720.1158
164	673719.8186
165	673719.8169
166	673714.09
167	673711.3817
168	673708.483
169	673708.4577
170	673705.8935
171	673702.9791
172	673702.9082
173	673702.616
174	673697.8803
