"Standardized Job Title","Salary","Company Name","Qualifications","Job Title","Company Location"
"AI Engineer","83200","DataAnnotation - 3.9","['Kotlin', 'Go', 'CSS', 'React', 'Writing skills', 'C#', 'English', 'Mid-level', 'Java', 'SQL', 'C++', 'C', ""Bachelor's degree"", 'JavaScript', 'Swift', 'AI', 'Grammar Experience', 'TypeScript', 'Python', 'HTML']","Software Developer - AI Trainer","New York, NY"
"AI Engineer","83200","DataAnnotation - 3.9","['Kotlin', 'Go', 'CSS', 'React', 'Writing skills', 'C#', 'English', 'Mid-level', 'Java', 'SQL', 'C++', 'C', ""Bachelor's degree"", 'JavaScript', 'Swift', 'AI', 'Grammar Experience', 'TypeScript', 'Python', 'HTML']","Front-End Developer- AI Trainer","New York, NY"
"Engineer","125000","Rockefeller University - 4.2","['CI/CD', 'Computer science', 'TCP', 'System administration', 'Azure', 'Node.js', 'Kubernetes', 'Ansible', 'Vagrant', 'Kanban', 'DevOps', 'Git', 'GitLab CI/CD', '3 years', 'Bash', 'Application development', 'DHCP', 'AWS', 'Docker', ""Bachelor's degree"", 'Ruby on Rails', 'Virtualization', 'Splunk', 'New Relic', 'Perl', 'Mentoring', 'Scripting', 'DNS', 'Angular', 'Ruby', 'Organizational skills', 'Agile', 'VMWare', 'SSH', 'Linux', 'Apache', 'TCP/IP', 'Senior level', 'GitLab', 'Python', 'Teaching', 'Shell Scripting', 'NGINX']","Manager of DevOps Engineering | Information Technology","New York, NY"
"Developer","77160","Macy’s - 3.6","['Web analytics', 'Management', 'CSS', 'Mid-level', ""Bachelor's degree"", 'JavaScript', 'APIs', 'Purchasing', 'IT', 'A/B testing', 'Data collection', 'Business requirements', 'Communication skills', 'Adobe Analytics', 'Multichannel marketing', 'HTML', 'Adobe Target', 'Stakeholder management']","Specialist, Developer (Digital Personalization)","New York, NY"
"Full Stack Developer","104000","Rethink","['MVC', 'CSS', 'Mobile applications', '.NET Core', 'C#', 'Microsoft SQL Server', 'Mid-level', '.NET', 'SQL', 'JavaScript', 'Angular', 'TypeScript', 'HTML', 'Design patterns']","Full Stack Developer","New York, NY"
"Backend Developer","150000","Technology Holdings North America Inc. - 3.0","['Cloud infrastructure', 'Go', 'Cassandra', 'Kubernetes', 'UNIX', 'Google Cloud Platform', '3 years', 'Bash', 'Databases', '8 years', 'AWS', 'Docker', 'Distributed systems', 'Terraform', 'Redis', 'Back-end development', 'Scripting', 'APIs', 'Senior level', 'Shell Scripting']","Back End Developer","New York, NY"
"Developer","114400","BRC","['Computer science', 'Computer Science', 'CSS', 'Web development', 'DocuSign', '5 years', 'Microsoft Office', 'SQL', ""Bachelor's degree"", 'JavaScript', 'SharePoint', 'Agile', 'Metadata', 'Senior level', 'jQuery', 'HTML']","SharePoint Application Developer","New York, NY"
"Developer","90000","Business Integration Partners (BIP) - 3.0","['Computer Science', 'Software troubleshooting', 'Trading', '5 years', 'Data structures', 'NoSQL', 'Git', 'Test-driven development', 'Java', 'Finance', 'Algorithms', 'SQL', 'C++', ""Bachelor's degree"", 'APIs', 'Agile', 'Senior level', 'Python']","C++ Developer, Capital Markets","New York, NY"
"Engineer","96800","Health Center, Inc. - 3.0","['Microsoft Windows Server', 'Microsoft Powerpoint', 'Computer science', 'ITIL Certification', 'Cloud infrastructure', 'Microsoft Excel', 'Azure', 'Computer Science', 'Customer service', '5 years', 'Engineering', 'Encryption', 'Information Systems', 'Windows', 'TLS', 'AWS', ""Bachelor's degree"", 'SSL', 'Scripting', 'DNS', 'SharePoint', 'VMWare', 'SSH', 'HTTPS', 'Senior level', 'Citrix', 'Communication skills', 'Microsoft Intune', 'Python', 'PowerShell', 'IaaS', 'Active Directory', 'Intune', 'Time management', 'VPN']","Microsoft Cloud Engineer","New York, NY"
"Backend Developer","80000","LiveCare","['Spring Boot', 'Mid-level', 'Java', 'AWS', 'JavaScript', 'REST', 'APIs', '1 year', '2 years', 'Spring', 'MySQL', 'AWS Lambda']","Back-End JAVA Developer- NYC/NJ ONLY! (NO REMOTE APPLICANTS)","New York, NY"
